ds,Actual_TOT_PAID,Prediction_TOT_PAID,Prediction_TOT_PAID_lower,Prediction_TOT_PAID_upper,source,Actual_BUDGET_AMT,Forecast_BUDGET_AMT,Actual_NBR_MURDER,Forecast_NBR_MURDER,model_run_datetime
2017-12-31,1625741.69,1891395.2721505382,1452764.5371111438,2330269.0719641834,Fitted,1267262.348,2084496.1713256694,8.0,11.647480963393278,2025-03-22 17:57:08
2018-01-31,2697441.94,2119330.2402222464,1616962.3089812135,2591571.080570165,Fitted,3167225.47,2623097.8372152112,10.0,13.561617815377502,2025-03-22 17:57:08
2018-02-28,1615646.79,1999364.9942862035,1543675.8719440287,2455426.311143649,Fitted,3607562.054,2534493.735428801,14.0,13.87350530521269,2025-03-22 17:57:08
2018-03-31,2145538.1,2053714.200399496,1568811.016114968,2510115.1021167464,Fitted,2431429.333,2711463.9325335743,13.0,15.668872231149995,2025-03-22 17:57:08
2018-04-30,2153008.87,2199678.096624112,1722911.6080154062,2701805.2796848235,Fitted,3239678.403,2487597.9261539807,20.0,14.821513249124965,2025-03-22 17:57:08
2018-05-31,2101930.5,2083560.8893855691,1631456.3923147356,2533776.988334077,Fitted,2203610.271,2396501.10697355,11.0,14.874474936487877,2025-03-22 17:57:08
2018-06-30,2097268.44,1945467.5904660905,1475837.7380859863,2388341.8431596016,Fitted,1983393.376,2397786.6083493535,19.0,15.334313567532195,2025-03-22 17:57:08
2018-07-31,2592867.81,2202991.0447747223,1760608.8595592077,2651829.555802129,Fitted,1510168.665,2279565.9938492775,8.0,10.60276031101895,2025-03-22 17:57:08
2018-08-31,2015054.33,1792509.4115117572,1303940.7370418923,2247893.6835392225,Fitted,2221267.368,2307826.7883831607,19.0,11.677436120431185,2025-03-22 17:57:08
2018-09-30,1222470.6,1656190.8373128974,1181865.9706156023,2135745.461584734,Fitted,2877683.088,2531025.0331250057,18.0,14.687211883413475,2025-03-22 17:57:08
2018-10-31,2249711.87,1796983.4591803765,1293016.162778737,2253752.299790894,Fitted,2263179.778,2373597.29809402,18.0,14.417372134084047,2025-03-22 17:57:08
2018-11-30,1939409.96,1925340.2577133104,1470744.7974410565,2374809.7512323023,Fitted,1731484.64,2603501.3916361798,5.0,14.280981166147884,2025-03-22 17:57:08
2018-12-31,1482792.84,1910414.4247907475,1466936.1687194903,2399082.9011910404,Fitted,2767227.89,2115850.3861934803,11.0,11.991907849070712,2025-03-22 17:57:08
2019-01-31,2127225.02,2116474.977881707,1659803.7560656306,2589830.118097675,Fitted,3572884.661,2646877.1649314933,21.0,14.228209873889595,2025-03-22 17:57:08
2019-02-28,2160835.26,1999505.8795515317,1512537.967291909,2450561.4206929547,Fitted,3358937.97,2593017.1924554906,10.0,14.329073944839696,2025-03-22 17:57:08
2019-03-31,2860021.31,2059242.3290135872,1602055.0230293798,2520371.487050949,Fitted,4540530.886,2762163.110372595,15.0,16.13922288585783,2025-03-22 17:57:08
2019-04-30,2311900.09,2208706.491320421,1726220.697735848,2679659.0332871983,Fitted,2690755.758,2510451.840079423,14.0,15.330847056900762,2025-03-22 17:57:08
2019-05-31,2282023.7,2087970.5899578538,1631526.1154022606,2577679.3199795065,Fitted,3335218.781,2441921.114079451,18.0,15.345724105438684,2025-03-22 17:57:08
2019-06-30,2411533.35,1957133.0985591314,1464656.5435214462,2408480.586037139,Fitted,2082052.161,2424944.302524894,19.0,15.850712674306878,2025-03-22 17:57:08
2019-07-31,2433979.15,2217655.1035720957,1779372.7612719624,2693463.8252884718,Fitted,2530530.32,2317670.4688924956,8.0,10.971337475164415,2025-03-22 17:57:08
2019-08-31,1665229.4,1795001.431196363,1313416.1289355794,2251479.034225463,Fitted,1925620.28,2346669.271254258,11.0,12.237604019028945,2025-03-22 17:57:08
2019-09-30,1754382.48,1646961.09181071,1202696.4940946775,2098481.358804515,Fitted,1645811.62,2578043.573791365,9.0,15.34613596561414,2025-03-22 17:57:08
2019-10-31,1695773.84,1804399.081328635,1338065.8340709386,2275041.437059451,Fitted,2581391.757,2427475.763723406,22.0,14.808229962976586,2025-03-22 17:57:08
2019-11-30,2524529.51,1938613.4321433855,1468967.155070974,2390590.797803663,Fitted,2037140.015,2625470.743911774,21.0,14.729341485148941,2025-03-22 17:57:08
2019-12-31,2955954.39,1929205.5439617916,1468186.4952366159,2377799.252354666,Fitted,2556454.233,2147436.2782887,8.0,12.34070643672739,2025-03-22 17:57:08
2020-01-31,1996322.15,2113229.271698093,1633484.5338583763,2586896.7462761323,Fitted,2908845.533,2670991.7654149253,16.0,14.896953363130086,2025-03-22 17:57:08
2020-02-29,1289924.83,2023409.323446318,1571425.294075032,2513042.6404931527,Fitted,2303483.028,2572601.463239421,19.0,14.924279313762044,2025-03-22 17:57:08
2020-03-31,2616185.31,2067159.7364698858,1629594.9655494317,2537939.168556734,Fitted,2728605.27,2762733.2493315293,31.0,16.693571900250827,2025-03-22 17:57:08
