ACC_MONTH,FISCAL_YEAR,ACCOUNTING_PERIOD,TOT_PAID,BUDGET_AMT,NBR_CASE,NBR_MURDER,NBR_OTHER,TOT_PAID_ADJUSTED,TOT_PAID_ADJUSTED_NEW_SLOPE,TOT_PAID_ADJUSTED_FINAL,BUDGET_AMT_LAG12,NBR_CASE_LAG11,TOT_PAID_ADJUSTED_LAGGED_FINAL
2015-08-31,2015,5,2162138.14,2156796.2,38,11,27,2531647.325046952,2551465.991822532,2352435.369456648,1138014.36,55.0,2175203.8313553575
2015-09-30,2015,6,1539331.38,2090915.083,57,15,42,1911799.936825039,1899574.9902016174,2143420.5945440116,2057333.71,56.0,2132066.1326453444
2015-10-31,2015,7,1933027.15,1500551.648,19,3,16,2308455.0786031266,2316735.6051935614,1901501.7495443411,3876312.01,33.0,2725063.9968310995
2015-11-30,2015,8,1972425.92,3941170.846,57,14,43,2350813.2203812143,2361283.492294817,2929351.5744906114,1260767.63,31.0,1948650.6321808386
2015-12-31,2015,9,1992113.37,1453386.65,24,8,16,2373460.0421593017,2385101.063543762,1957507.3637925521,2534111.84,47.0,2454754.6344124186
2016-01-31,2015,10,2221328.92,2096546.766,54,17,37,2605634.963937389,2629278.4936420703,2488378.420480372,1956282.453,56.0,2466602.5072655706
2016-02-29,2015,11,1660954.45,1648925.19,41,10,31,2048219.865715477,2043047.2799543382,1967448.1412064172,3181166.224,65.0,2604060.0056257024
2016-03-31,2015,12,1940317.92,2296818.55,42,10,32,2330542.7074935646,2339965.075534838,2317469.5238912893,2792862.4,37.0,2439691.8374035144
2016-04-30,2016,1,1900619.06,2330669.011,50,9,41,2293803.2192716515,2301326.303748244,2365861.0914549697,2036438.798,67.0,2403805.283923544
2016-05-31,2016,2,1813296.63,2193039.19,44,18,26,2209440.1610497395,2212602.0152070834,2237043.1395166563,3073630.96,51.0,2558408.834645856
2016-06-30,2016,3,1741400.85,1764802.379,42,12,30,2140503.752827827,2140101.8723366866,2057933.0709922137,2293476.359,35.0,2175920.42930355
2016-07-31,2016,4,2389991.23,2944021.215,37,6,31,2792053.5046059145,2825334.122021369,2718342.462161444,2004424.244,38.0,2452856.910947224
2016-08-31,2016,5,1360454.62,2234798.69,36,5,31,1765476.266384002,1745686.9753496351,1958557.654430955,2156796.2,57.0,2091972.8693197975
2016-09-30,2016,6,2130952.88,1559861.258,29,8,21,2538933.8981620893,2559129.251419442,2112436.224603503,2090915.083,19.0,2212473.7824378205
2016-10-31,2016,7,1560746.86,1926779.928,40,13,27,1971687.2499401772,1962558.2361954455,2003365.563832349,1500551.648,57.0,2003535.1341427027
2016-11-30,2016,8,1751660.08,3566603.692,39,16,23,2165559.841718265,2166453.2601038357,2590065.728091922,3941170.846,24.0,2606272.501182238
