ds,Actual_TOT_PAID,Prediction_TOT_PAID,Prediction_TOT_PAID_lower,Prediction_TOT_PAID_upper,source,Actual_BUDGET_AMT,Forecast_BUDGET_AMT,Actual_NBR_MURDER,Forecast_NBR_MURDER,model_run_datetime
7/31/2025,,209,1781802.418,2656666.745,Forecast,,2550137.476,,14.1722666,3/22/2025 16:08
8/31/2025,,209,1387760.78,2322389.656,Forecast,,2577663.298,,15.05684646,3/22/2025 16:08
9/30/2025,,209,1242504.584,2180037.242,Forecast,,2792449.62,,17.96029351,3/22/2025 16:08
10/31/2025,,209,1388877.813,2313535.002,Forecast,,2627755.713,,17.9576691,3/22/2025 16:08
11/30/2025,,209,1494083.798,2414858.581,Forecast,,2889412.433,,17.7669303,3/22/2025 16:08
12/31/2025,,209,1529880.001,2380791.195,Forecast,,2392885.966,,15.58269179,3/22/2025 16:08
1/31/2026,,209,1705916.492,2613956.25,Forecast,,2931487.633,,17.49682867,3/22/2025 16:08
2/28/2026,,209,1571904.769,2511503.773,Forecast,,2842883.531,,17.80871618,3/22/2025 16:08
3/31/2026,,209,1616403.13,2529637.654,Forecast,,3019853.729,,19.60408314,3/22/2025 16:08
4/30/2026,,209,1801086.606,2714130.713,Forecast,,2795987.723,,18.75672418,3/22/2025 16:08
5/31/2026,,209,1674494.274,2603269.688,Forecast,,2704890.905,,18.80968589,3/22/2025 16:08
6/30/2026,,209,1546179.27,2437404.156,Forecast,,2706176.407,,19.26952455,3/22/2025 16:08
7/31/2026,,209,1781622.366,2707199.869,Forecast,,2587955.793,,14.53797131,3/22/2025 16:08
8/31/2026,,209,1373905.311,2297737.417,Forecast,,2616216.588,,15.61264715,3/22/2025 16:08
2011-04-30,1489878.86,2160283.222921916,1700093.9209849453,2598184.307664802,Fitted,3629805.06,2202063.017636281,16.0,11.403130517284959,2025-03-22 17:07:27
2011-05-31,1922713.79,2039558.0737197716,1565322.9492260374,2532935.5190622364,Fitted,1724956.61,2133532.276861382,8.0,11.417865004787446,2025-03-22 17:07:27
2011-06-30,2378873.09,1908730.9876376651,1441366.583311823,2382763.3308569714,Fitted,2623665.5,2116555.4510083064,12.0,11.922715611363136,2025-03-22 17:07:27
2011-07-31,1853901.62,2169263.7448110133,1694377.983497149,2660313.8064000504,Fitted,2626410.66,2009281.602601204,9.0,7.043197851184614,2025-03-22 17:07:27
2011-08-31,2024100.54,1746620.8245957205,1274497.5783409271,2210934.031961927,Fitted,1995629.23,2038280.3901879322,17.0,8.309321834013945,2025-03-22 17:07:27
2011-09-30,1329445.24,1598590.2780336689,1135649.2542267195,2032674.3858939093,Fitted,3465521.97,2269654.6782597713,20.0,11.4177158182668,2025-03-22 17:07:27
2011-10-31,1865240.64,1756038.386513943,1298302.2738816307,2231738.531389646,Fitted,1792970.42,2119086.8531989777,9.0,10.879667258169976,2025-03-22 17:07:27
2011-11-30,2159360.43,1890262.5298729606,1419277.708130997,2344080.762519039,Fitted,1924099.546,2317081.8188780886,16.0,10.800640821510086,2025-03-22 17:07:27
2011-12-31,1356333.85,1880864.7606536685,1396199.285885654,2321126.7362124347,Fitted,1790695.5,1839047.3382621277,6.0,8.411863215629918,2025-03-22 17:07:27
2012-01-31,1692342.47,2064898.607352335,1586982.5859088716,2536604.8158700587,Fitted,1337685.21,2362602.8103955192,8.0,10.967967584573296,2025-03-22 17:07:27
2012-02-29,2208069.26,1975088.1252265498,1505514.7555661441,2437149.31218764,Fitted,1815549.91,2264212.494194405,13.0,10.995160175002807,2025-03-22 17:07:27
2012-03-31,1909207.0,2018848.657123058,1532550.1954532366,2472981.4059480317,Fitted,2238235.9,2454344.265323682,17.0,12.764310204894283,2025-03-22 17:07:27
2012-04-30,2872070.97,2157289.853054325,1731223.0227916092,2610909.7833153517,Fitted,2064924.92,2287088.8949530832,12.0,11.840474463991121,2025-03-22 17:07:27
2012-05-31,2017235.18,2050611.7901010073,1589332.8827103393,2506424.6260521375,Fitted,1387912.58,2151437.573986682,10.0,11.968892830542368,2025-03-22 17:07:27
2012-06-30,2030150.39,1898205.1011730277,1458823.079897451,2368368.4735354497,Fitted,2203039.23,2189194.25707727,9.0,12.334166414618434,2025-03-22 17:07:27
