Code,Year,Gender,Table_5,Table_6_RoC
862,2000-05,T,1.092264828847235,21.47704020750858
905,2000-05,T,2.341362660406844,-6.037203032306524
60,2000-05,T,0.676672599334899,
124,2000-05,T,1.9585161997000693,1.2824877403594221
304,2000-05,T,-0.20534366828510617,
666,2000-05,T,-4.798315908784657,
840,2000-05,T,2.4028316285866347,-8.252540817310445
909,2000-05,T,2.333727159137867,-2.334458594396785
927,2000-05,T,2.4249874003194094,-3.542702201711142
36,2000-05,T,2.125336038420595,-3.437414910451597
554,2000-05,T,4.259981254541843,-2.757809193147956
928,2000-05,T,1.9818581640808761,8.69661533615848
242,2000-05,T,-0.4516372242795887,
540,2000-05,T,2.1930262222605155,
598,2000-05,T,3.5437818047310237,7.132691595501664
90,2000-05,T,-3.928745909238665,
548,2000-05,T,1.2831528260110752,
954,2000-05,T,-0.2778338101665314,
316,2000-05,T,0.18089940751272127,
296,2000-05,T,1.711735945472184,
584,2000-05,T,4.9084262409005115,
583,2000-05,T,-1.4023347540925466,
520,2000-05,T,-1.214058913713481,
580,2000-05,T,-1.3292901211123012,
585,2000-05,T,-0.8647019834740064,
957,2000-05,T,0.6870718940671272,
16,2000-05,T,-0.5526854894613169,
184,2000-05,T,3.253609926748603,
258,2000-05,T,1.2505869846901596,
570,2000-05,T,0.9413502171597147,
882,2000-05,T,-0.8584423953943897,
772,2000-05,T,-0.3076983767895891,
776,2000-05,T,3.0969687081707766,
798,2000-05,T,-3.4082240139807722,
876,2000-05,T,3.2031765309050013,
900,2005-10,T,2.9541604406421347,-0.025088975388118342
901,2005-10,T,2.4663429338210405,-5.32329268351312
902,2005-10,T,3.7022167470843788,0.28519520935836706
941,2005-10,T,0.4191370226801371,-4.187108632338556
934,2005-10,T,4.159338546917266,1.5304560436841692
947,2005-10,T,2.101477464713174,-4.9502143006132595
903,2005-10,T,2.0609016406911875,-4.672588175957837
910,2005-10,T,-0.37746677483978175,-6.464768239034592
108,2005-10,T,6.16248058930244,0.8492811027764255
174,2005-10,T,-0.915480989862175,
262,2005-10,T,1.9604044651426744,5.3952681964818066
232,2005-10,T,1.8178560204195857,-0.12181487446758336
231,2005-10,T,1.9786873530974742,6.532499891424708
404,2005-10,T,4.053722373605366,5.389652909945637
450,2005-10,T,2.0737953550739903,
454,2005-10,T,-0.3586033623359946,6.416522184088169
480,2005-10,T,4.687391171972402,
175,2005-10,T,2.824012783175055,
508,2005-10,T,0.9330275961526777,13.776629808177828
638,2005-10,T,1.3365464057973353,
646,2005-10,T,0.18353732365848124,1.8896775727247839
690,2005-10,T,4.769500315857648,
706,2005-10,T,2.9832420323306392,24.384487754955476
728,2005-10,T,,
800,2005-10,T,-4.2047455977461325,-8.572876786045756
834,2005-10,T,-18.308853461736632,-13.967336700003463
894,2005-10,T,-10.483690805010356,-13.112894823064265
716,2005-10,T,0.26299924630995364,-0.26299924630995286
911,2005-10,T,2.077669026480674,2.169224513839109
24,2005-10,T,4.433564887802063,-2.657193013041276
120,2005-10,T,2.2185883133934974,11.681022790642306
140,2005-10,T,-0.20924544959411967,-2.390686544623503
148,2005-10,T,3.381933090805979,1.2932472836640068
178,2005-10,T,5.72181476990106,8.286193602556006
180,2005-10,T,-1.1198986679805063,-2.995707890753923
226,2005-10,T,5.464678734087899,
266,2005-10,T,2.611696432167576,-1.5408256304130494
678,2005-10,T,-4.80365482930543,
912,2005-10,T,1.507966117931509,-1.5527067752241843
12,2005-10,T,-0.20897609624652608,0.21811312527738955
818,2005-10,T,1.5252203000722613,-0.19648534814353816
434,2005-10,T,1.7972840284116023,-10.374789106719778
504,2005-10,T,5.308386298231297,20.401406941727203
729,2005-10,T,1.2989353591902553,-1.7450096620306017
788,2005-10,T,4.174037417898182,-4.351816366243102
732,2005-10,T,2.8770887217121266,
913,2005-10,T,8.514290733239452,2.9229950394405035
