C_Sort_Order,Country_or_Area,Note,Country_Code,Type_of_Data,T1_T_1990,T1_T_1995,T1_T_2000,T1_T_2005,T1_T_2010,T1_T_2015,T1_M_1990,T1_M_1995,T1_M_2000,T1_M_2005,T1_M_2010,T1_M_2015,T1_F_1990,T1_F_1995,T1_F_2000,T1_F_2005,T1_F_2010,T1_F_2015,Group
108,Western Asia,,922,,15239274,16956639,18559009,21658647,30601647.0,38119524.0,8921324,9996494,11062014,13363900,19947701.0,24559207.0,6317950,6960145,7496995,8294747,10653946.0,13560317.0,Region
109,Armenia,,51,B R,658789,693999,657900,469119,221560.0,191199.0,270535,284995,270170,191401,90345.0,77436.0,388254,409004,387730,277718,131215.0,113763.0,Country_or_Area
110,Azerbaijan,(9),31,B R,360600,344070,327540,302220,276901.0,264241.0,157856,149509,141161,135336,129512.0,126600.0,202744,194561,186379,166884,147389.0,137641.0,Country_or_Area
111,Bahrain,,48,C,173212,205979,239361,404018,657856.0,704137.0,122730,144227,165344,288614,475905.0,508966.0,50482,61752,74017,115404,181951.0,195171.0,Country_or_Area
112,Cyprus,(10),196,B,43805,61941,80076,117165,187923.0,196167.0,20463,27604,34745,50421,82284.0,86980.0,23342,34337,45331,66744,105639.0,109187.0,Country_or_Area
113,Georgia,(11),268,B,338300,278450,218600,199805,182202.0,168802.0,148094,121152,94211,86123,78548.0,72861.0,190206,157298,124389,113682,103654.0,95941.0,Country_or_Area
114,Iraq,,368,C R,83638,199460,210525,132915,117389.0,353881.0,55751,114821,120464,80883,72965.0,207133.0,27887,84639,90061,52032,44424.0,146748.0,Country_or_Area
115,Israel,,376,B R,1632704,1792185,1851309,1889503,1950615.0,2011727.0,770777,830330,853712,867805,890352.0,912899.0,861927,961855,997597,1021698,1060263.0,1098828.0,Country_or_Area
116,Jordan,,400,C R,1146349,1537097,1927845,2325414,2722983.0,3112026.0,586473,784725,982977,1183645,1384313.0,1567177.0,559876,752372,944868,1141769,1338670.0,1544849.0,Country_or_Area
117,Kuwait,,414,C R,1074391,921954,1127640,1333327,1871537.0,2866136.0,654878,591452,761512,918580,1309814.0,1888220.0,419513,330502,366128,414747,561723.0,977916.0,Country_or_Area
118,Lebanon,,422,B R,523693,608303,692913,756784,820655.0,1997776.0,267922,310613,353305,390331,427358.0,959973.0,255771,297690,339608,366453,393297.0,1037803.0,Country_or_Area
119,Oman,,512,C,304000,539643,623608,666160,816221.0,1844978.0,242477,417444,488389,527842,658746.0,1495360.0,61523,122199,135219,138318,157475.0,349618.0,Country_or_Area
120,Qatar,,634,C,309753,361673,359697,646026,1456413.0,1687640.0,225932,269972,274242,498428,1206571.0,1416361.0,83821,91701,85455,147598,249842.0,271279.0,Country_or_Area
121,Saudi Arabia,,682,C R,4998445,5122702,5263387,6501819,8429956.0,10185945.0,3324873,3416485,3517768,4469805,5933281.0,6938598.0,1673572,1706217,1745619,2032014,2496675.0,3247347.0,Country_or_Area
122,State of Palestine,(12),275,B,288332,281767,275202,266617,258032.0,255507.0,132101,128328,124555,119621,114688.0,113237.0,156231,153439,150647,146996,143344.0,142270.0,Country_or_Area
123,Syrian Arab Republic,,760,C R,714140,830610,832273,876410,1661922.0,875189.0,364077,423115,426633,449470,848834.0,447528.0,350063,407495,405640,426940,813088.0,427661.0,Country_or_Area
124,Turkey,,792,B R,1163686,1216173,1280963,1319236,1367034.0,2964916.0,577329,593938,616007,618938,625960.0,1514468.0,586357,622235,664956,700298,741074.0,1450448.0,Country_or_Area
125,United Arab Emirates,,784,C R,1306574,1824118,2446675,3281036,7316611.0,8095126.0,932046,1309952,1757144,2388278,5463515.0,6044983.0,374528,514166,689531,892758,1853096.0,2050143.0,Country_or_Area
126,Yemen,,887,C R,118863,136515,143495,171073,285837.0,344131.0,67010,77832,79675,98379,154710.0,180427.0,51853,58683,63820,72694,131127.0,163704.0,Country_or_Area
127,Europe,,908,,49219200,52842663,56271885,64086824,72374755.0,76145954.0,23946673,25635806,27236062,30921625,34675817.0,36272616.0,25272527,27206857,29035823,33165199,37698938.0,39873338.0,Major_Area
128,Eastern Europe,,923,,21995312,21344124,20428480,19747392,19116929.0,19684357.0,10201263,10022332,9700625,9362793,9033489.0,9305588.0,11794049,11321792,10727855,10384599,10083440.0,10378769.0,Region
129,Belarus,,112,B,1248977,1186282,1123586,1106982,1090378.0,1082905.0,572021,543307,514593,506988,499384.0,495961.0,676956,642975,608993,599994,590994.0,586944.0,Country_or_Area
130,Bulgaria,,100,B,21510,32435,43360,61074,76287.0,102113.0,9047,13642,18238,26594,33841.0,47442.0,12463,18793,25122,34480,42446.0,54671.0,Country_or_Area
131,Czech Republic,,203,C,110394,165592,220789,322540,397785.0,405093.0,57405,88316,119227,181719,235936.0,231897.0,52989,77276,101562,140821,161849.0,173196.0,Country_or_Area
132,Hungary,,348,B R,347510,322234,296957,366787,436616.0,449632.0,156185,147202,138219,174216,210212.0,220913.0,191325,175032,158738,192571,226404.0,228719.0,Country_or_Area
133,Poland,,616,B,1127771,964725,825251,722509,642417.0,619403.0,482176,404049,338323,297039,262263.0,257311.0,645595,560676,486928,425470,380154.0,362092.0,Country_or_Area
134,Republic of Moldova,(13),498,B,544162,367231,247828,173957,157668.0,142904.0,239616,161706,109129,76600,60541.0,50545.0,304546,205525,138699,97357,97127.0,92359.0,Country_or_Area
135,Romania,,642,B,135825,135037,126949,145162,155982.0,226943.0,57601,63282,60428,66264,77499.0,119364.0,78224,71755,66521,78898,78483.0,107579.0,Country_or_Area
136,Russian Federation,,643,B,11524948,11928927,11900297,11667588,11194710.0,11643276.0,5655422,5925452,5982851,5806597,5514401.0,5715211.0,5869526,6003475,5917446,5860991,5680309.0,5928065.0,Country_or_Area
137,Slovakia,,703,B,41295,69323,116376,130491,146319.0,177190.0,18187,30531,51253,58716,66938.0,83714.0,23108,38792,65123,71775,79381.0,93476.0,Country_or_Area
